x,y,theta,sensor_id,sensor_value
0.580056,0.547400,0.129922,9,0.081382
0.580056,0.547400,0.129922,10,0.092645
0.580056,0.547400,0.129922,11,0.086760
0.580056,0.547400,0.129922,12,0.098845
0.580056,0.547400,0.129922,13,0.102634
0.580056,0.547400,0.129922,14,0.096594
0.580056,0.547400,0.129922,15,0.114901
0.580056,0.547400,0.129922,16,0.091577
0.581476,0.547626,0.157288,1,0.113757
0.581476,0.547626,0.157288,2,0.096998
0.581476,0.547626,0.157288,3,0.096661
0.581476,0.547626,0.157288,4,0.104997
0.581476,0.547626,0.157288,5,0.085079
0.581476,0.547626,0.157288,6,0.090359
0.581476,0.547626,0.157288,7,0.095048
0.581476,0.547626,0.157288,8,0.066299
0.581476,0.547626,0.157288,9,0.079156
0.581476,0.547626,0.157288,10,0.083324
0.581476,0.547626,0.157288,11,0.096241
0.581476,0.547626,0.157288,12,0.120739
0.581476,0.547626,0.157288,13,0.101424
0.581476,0.547626,0.157288,14,0.115306
0.581476,0.547626,0.157288,15,0.101645
0.581476,0.547626,0.157288,16,0.103491
0.579661,0.547355,0.147838,1,0.088603
0.579661,0.547355,0.147838,2,0.113976
0.579661,0.547355,0.147838,3,0.107485
0.579661,0.547355,0.147838,4,0.099957
0.579661,0.547355,0.147838,5,0.101495
0.579661,0.547355,0.147838,6,0.099442
0.579661,0.547355,0.147838,7,0.070496
0.579661,0.547355,0.147838,8,0.053746
0.579661,0.547355,0.147838,9,0.089051
0.579661,0.547355,0.147838,10,0.090244
0.579661,0.547355,0.147838,11,0.102386
0.579661,0.547355,0.147838,12,0.103124
0.579661,0.547355,0.147838,13,0.085830
0.579661,0.547355,0.147838,14,0.107793
0.579661,0.547355,0.147838,15,0.096616
0.579661,0.547355,0.147838,16,0.108730
0.578278,0.547128,0.162772,1,0.091355
0.578278,0.547128,0.162772,2,0.099851
0.578278,0.547128,0.162772,3,0.099976
0.578278,0.547128,0.162772,4,0.115537
0.578278,0.547128,0.162772,5,0.119925
0.578278,0.547128,0.162772,6,0.111259
0.578278,0.547128,0.162772,7,0.073832
0.578278,0.547128,0.162772,8,0.065821
0.578278,0.547128,0.162772,9,0.062814
0.578278,0.547128,0.162772,10,0.095040
0.578278,0.547128,0.162772,11,0.097123
0.578278,0.547128,0.162772,12,0.093211
0.578278,0.547128,0.162772,13,0.104826
0.578278,0.547128,0.162772,14,0.100172
0.578278,0.547128,0.162772,15,0.121314
0.578278,0.547128,0.162772,16,0.100410
0.577216,0.546953,0.163420,1,0.092121
0.577216,0.546953,0.163420,2,0.116251
0.577216,0.546953,0.163420,3,0.114620
0.577216,0.546953,0.163420,4,0.097343
0.577216,0.546953,0.163420,5,0.098337
0.577216,0.546953,0.163420,6,0.095479
0.577216,0.546953,0.163420,7,0.068905
0.577216,0.546953,0.163420,8,0.078346
0.577216,0.546953,0.163420,9,0.069656
0.577216,0.546953,0.163420,10,0.090357
0.577216,0.546953,0.163420,11,0.107455
0.577216,0.546953,0.163420,12,0.096210
0.577216,0.546953,0.163420,13,0.116066
0.577216,0.546953,0.163420,14,0.119577
0.577216,0.546953,0.163420,15,0.106374
0.577216,0.546953,0.163420,16,0.092272
0.579338,0.547245,0.136825,1,0.107642
0.579338,0.547245,0.136825,2,0.093900
0.579338,0.547245,0.136825,3,0.106079
0.579338,0.547245,0.136825,4,0.092901
0.579338,0.547245,0.136825,5,0.097740
0.579338,0.547245,0.136825,6,0.073994
0.579338,0.547245,0.136825,7,0.065382
0.579338,0.547245,0.136825,8,0.036776
0.579338,0.547245,0.136825,9,0.069130
0.579338,0.547245,0.136825,10,0.072326
0.579338,0.547245,0.136825,11,0.084307
0.579338,0.547245,0.136825,12,0.101955
0.579338,0.547245,0.136825,13,0.118194
0.579338,0.547245,0.136825,14,0.086953
0.579338,0.547245,0.136825,15,0.086498
0.579338,0.547245,0.136825,16,0.098305
0.580387,0.547413,0.158358,1,0.098118
0.580387,0.547413,0.158358,2,0.083112
0.580387,0.547413,0.158358,3,0.093147
0.580387,0.547413,0.158358,4,0.108587
0.580387,0.547413,0.158358,5,0.085753
0.580387,0.547413,0.158358,6,0.091026
0.580387,0.547413,0.158358,7,0.074568
0.580387,0.547413,0.158358,8,0.063320
0.580387,0.547413,0.158358,9,0.071391
0.580387,0.547413,0.158358,10,0.078114
0.580387,0.547413,0.158358,11,0.080584
0.580387,0.547413,0.158358,12,0.110221
0.580387,0.547413,0.158358,13,0.081570
0.580387,0.547413,0.158358,14,0.097925
0.580387,0.547413,0.158358,15,0.105979
0.580387,0.547413,0.158358,16,0.100046
0.581618,0.547568,0.125304,1,0.110373
0.581618,0.547568,0.125304,2,0.085463
0.581618,0.547568,0.125304,3,0.100960
0.581618,0.547568,0.125304,4,0.095341
